"","sub","consistency","rotation","imgID","imagename","correct","response_time"
"3620",8,"con","noncanon",36,"036_Roller",1,394
"3621",8,"con","canon",46,"046_Besteck_Messer",1,383
"3622",8,"incon","noncanon",79,"079_Tisch_Schreibtisch",0,1103
"3623",8,"con","noncanon",66,"066_Stuhl_Barstuhl",1,901
"3624",8,"incon","canon",11,"011_Blume_Kaktus",1,687
"3625",8,"incon","canon",26,"026_Kamera_Digitalkamera",1,428
"3626",8,"incon","noncanon",59,"059_Sitzbank_Holzbank_ohne_Lehne",1,547
"3627",8,"incon","canon",98,"098_Auto_Van",1,458
"3628",8,"incon","noncanon",54,"054_Schrank_Bueroschrank",1,918
"3629",8,"incon","noncanon",31,"031_Muelltonne",1,561
"3630",8,"incon","canon",71,"071_Stuhl_Schreibtischstuhl",1,333
"3631",8,"con","canon",22,"022_Gitarre_Elektrogitarre",1,416
"3632",8,"incon","canon",70,"070_Stuhl_Schalenstuhl",1,383
"3633",8,"con","canon",33,"033_Kopfhoerer_Muschelkopfhoerer",1,401
"3634",8,"incon","canon",93,"093_Boot_Kanu",1,378
"3635",8,"con","canon",5,"005_Bett_Doppelbett",1,295
"3636",8,"con","noncanon",114,"114_Brokkoli",1,375
"3637",8,"con","canon",24,"024_Glas_Trinkglas",1,358
"3638",8,"con","canon",99,"099_Eimer_Wassereimer",1,280
"3639",8,"incon","canon",95,"095_Boot_Kreuzfahrtschiff",1,366
"3640",8,"incon","canon",108,"108_MP3player",1,429
"3641",8,"incon","noncanon",10,"010_Blume_Gaenseblume",1,364
"3642",8,"con","noncanon",6,"006_Bett_Einzelbett",1,440
"3643",8,"con","noncanon",49,"049_Nuss_Pistazie",1,483
"3644",8,"incon","canon",101,"101_Becken_Waschbecken",1,340
"3645",8,"con","noncanon",94,"094_Boot_Segelschiff",1,651
"3646",8,"con","noncanon",39,"039_Wasserkocher_moderner_Wasserkocher",1,362
"3647",8,"con","noncanon",116,"116_Kamin",1,1363
"3648",8,"incon","canon",2,"002_Baum_Palme",1,353
"3649",8,"con","canon",29,"029_Klavier_Fluegel",1,482
"3650",8,"incon","noncanon",17,"017_Computer_PC",1,815
"3651",8,"incon","canon",117,"117_Muffin",1,351
"3652",8,"con","noncanon",89,"089_Eimer_Muelleimer",0,717
"3653",8,"con","canon",91,"091_Flugzeug_Segelflieger",1,339
"3654",8,"incon","canon",80,"080_Uhr_Armbanduhr",1,419
"3655",8,"incon","canon",72,"072_Sessel_Ledersessel",1,492
"3656",8,"incon","canon",103,"103_Zahnbuerste",1,337
"3657",8,"incon","canon",67,"067_Stuhl_Buerostuhl",1,335
"3658",8,"con","canon",118,"118_Pilz_Champignon",1,417
"3659",8,"incon","noncanon",63,"063_Sofa_Ecksofa",1,600
"3660",8,"con","noncanon",32,"032_Kopfhoerer_Earbudohrhoerer",1,271
"3661",8,"incon","noncanon",87,"087_Auto_Panzer",0,1314
"3662",8,"con","canon",105,"105_Geschenk",1,434
"3663",8,"incon","canon",48,"048_Nuss_Mandel",1,348
"3664",8,"con","noncanon",7,"007_Bett_Krankenhausbett",1,271
"3665",8,"incon","noncanon",16,"016_Computer_Laptop",1,787
"3666",8,"incon","canon",41,"041_Lampe_Schreibtischlampe",1,441
"3667",8,"incon","noncanon",19,"019_Drucker_Heimdrucker",1,553
"3668",8,"con","noncanon",50,"050_Nuss_Wallnuss",1,264
"3669",8,"incon","noncanon",90,"090_Flugzeug_Zweiteweltkriegsflieger",1,336
"3670",8,"con","canon",3,"003_Baum_Tanne",1,248
"3671",8,"con","canon",100,"100_Besteck_Loeffel",1,331
"3672",8,"incon","canon",40,"040_Lampe_Deckenlampe",1,381
"3673",8,"con","noncanon",110,"110_Tretauto",1,475
"3674",8,"con","noncanon",60,"060_Sitzbank_Schaukelbank",1,370
"3675",8,"incon","canon",120,"120_Knoblauch",1,361
"3676",8,"incon","noncanon",52,"052_Regal_Metallregal",1,385
"3677",8,"con","noncanon",18,"018_Computer_Tablet",1,953
"3678",8,"incon","noncanon",88,"088_Flugzeug_Kampfflieger",1,416
"3679",8,"incon","noncanon",56,"056_Seife_Fluessigseife",1,396
"3680",8,"con","noncanon",77,"077_Tisch_Rundtisch",1,617
"3681",8,"con","noncanon",8,"008_Bildschirm_Desktop",1,611
"3682",8,"con","canon",107,"107_Kranz_Adventskranz",1,392
"3683",8,"con","noncanon",113,"113_Brezel",1,361
"3684",8,"incon","noncanon",35,"035_Kaffeemaschine_Espressomaschine",1,353
"3685",8,"incon","canon",12,"012_Blume_Orchidee",1,373
"3686",8,"con","noncanon",30,"030_Wippe",1,684
"3687",8,"con","noncanon",13,"013_Blume_Rosen",1,374
"3688",8,"incon","noncanon",51,"051_Regal_Holzregal",1,569
"3689",8,"incon","noncanon",27,"027_Kamera_Spiegelreflexkamera",1,450
"3690",8,"incon","noncanon",81,"081_Uhr_Digitaluhr",0,605
"3691",8,"con","canon",53,"053_Regal_Wandregal",1,388
"3692",8,"con","noncanon",115,"115_Kaefig_Vogelkaefig",1,531
"3693",8,"incon","canon",82,"082_Schaukelpferd",1,401
"3694",8,"incon","canon",28,"028_Wasserkocher_retroWasserkocher",1,325
"3695",8,"incon","noncanon",86,"086_Auto_Polizeiauto",1,392
"3696",8,"con","canon",55,"055_Schrank_Kleiderschrank",1,798
"3697",8,"con","noncanon",58,"058_Sitzbank_Holzbank_mit_Lehne",1,381
"3698",8,"con","noncanon",21,"021_Gitarre_Akustikgitarre",1,429
"3699",8,"incon","noncanon",68,"068_Stuhl_Holzstuhl",1,544
"3700",8,"con","canon",44,"044_Lampe_Tischleuchte",1,455
"3701",8,"incon","noncanon",61,"061_Sitzbank_Baumbank",1,1998
"3702",8,"incon","noncanon",57,"057_Seife_Kernseife",1,866
"3703",8,"incon","noncanon",119,"119_Paprika",1,381
"3704",8,"con","canon",69,"069_Stuhl_Rollstuhl",1,446
"3705",8,"con","canon",62,"062_Sofa_Dreiersofa",1,613
"3706",9,"incon","canon",60,"060_Sitzbank_Schaukelbank",1,683
"3707",9,"con","noncanon",21,"021_Gitarre_Akustikgitarre",1,905
"3708",9,"con","noncanon",37,"037_Mixer_Standmixer",1,595
"3709",9,"con","canon",15,"015_Blume_Tulpen",1,532
"3710",9,"con","noncanon",65,"065_Sofa_Zweiersofa",1,861
"3711",9,"incon","noncanon",55,"055_Schrank_Kleiderschrank",1,661
"3712",9,"incon","noncanon",98,"098_Auto_Van",1,510
"3713",9,"incon","canon",114,"114_Brokkoli",1,418
"3714",9,"con","canon",14,"014_Blume_Sonnenblume",1,387
"3715",9,"con","canon",88,"088_Flugzeug_Kampfflieger",1,412
"3716",9,"con","canon",104,"104_Fahrradstaender",1,926
"3717",9,"incon","canon",41,"041_Lampe_Schreibtischlampe",1,480
"3718",9,"con","canon",35,"035_Kaffeemaschine_Espressomaschine",1,251
"3719",9,"con","noncanon",17,"017_Computer_PC",1,644
"3720",9,"con","noncanon",103,"103_Zahnbuerste",1,395
"3721",9,"incon","canon",84,"084_Ventilator_Tischventilator",1,599
"3722",9,"incon","canon",59,"059_Sitzbank_Holzbank_ohne_Lehne",1,607
"3723",9,"con","canon",42,"042_Lampe_Stehlampe",1,523
"3724",9,"incon","canon",110,"110_Tretauto",1,351
"3725",9,"con","canon",3,"003_Baum_Tanne",1,371
"3726",9,"incon","noncanon",49,"049_Nuss_Pistazie",1,296
