"","sub","consistency","rotation","imgID","imagename","correct","response_time","log_RT"
"1503",20,"con","noncanon",108,"108_MP3player",1,1107,7.00940893270864
"1504",20,"con","canon",36,"036_Roller",1,491,6.19644412779452
"1505",20,"con","noncanon",63,"063_Sofa_Ecksofa",1,617,6.42486902390539
"1506",20,"incon","noncanon",29,"029_Klavier_Fluegel",1,434,6.07304453410041
"1507",20,"incon","noncanon",12,"012_Blume_Orchidee",1,404,6.00141487796115
"1508",20,"con","noncanon",111,"111_Wagen_Einkaufswagen",1,263,5.57215403217776
"1509",20,"incon","noncanon",86,"086_Auto_Polizeiauto",1,419,6.03787091992214
"1510",20,"incon","noncanon",120,"120_Knoblauch",1,263,5.57215403217776
"1511",20,"con","noncanon",46,"046_Besteck_Messer",1,924,6.82871207164168
"1512",20,"incon","canon",100,"100_Besteck_Loeffel",1,608,6.41017488196617
"1513",20,"incon","noncanon",28,"028_Wasserkocher_retroWasserkocher",1,712,6.56807791141198
"1514",20,"con","noncanon",66,"066_Stuhl_Barstuhl",1,1208,7.09672137849476
"1515",20,"con","canon",35,"035_Kaffeemaschine_Espressomaschine",1,352,5.8636311755981
"1516",20,"con","canon",88,"088_Flugzeug_Kampfflieger",1,337,5.82008293035236
"1517",20,"con","canon",115,"115_Kaefig_Vogelkaefig",1,1092,6.99576615630485
"1518",20,"con","canon",49,"049_Nuss_Pistazie",1,396,5.98141421125448
"1519",20,"incon","canon",114,"114_Brokkoli",1,303,5.71373280550937
"1520",20,"con","canon",77,"077_Tisch_Rundtisch",1,360,5.88610403145016
"1521",20,"incon","noncanon",67,"067_Stuhl_Buerostuhl",1,359,5.88332238848828
"1522",20,"con","noncanon",89,"089_Eimer_Muelleimer",1,641,6.46302945692067
"1523",20,"con","canon",68,"068_Stuhl_Holzstuhl",1,314,5.74939298590825
"1524",20,"incon","canon",97,"097_Besteck_Gabel",1,378,5.93489419561959
"1525",20,"incon","canon",41,"041_Lampe_Schreibtischlampe",1,387,5.95842469302978
"1526",20,"con","canon",48,"048_Nuss_Mandel",1,346,5.84643877505772
"1527",20,"con","canon",43,"043_Lampe_Strassenlaterne",1,315,5.75257263882563
"1528",20,"con","canon",22,"022_Gitarre_Elektrogitarre",1,307,5.7268477475872
"1529",20,"incon","noncanon",51,"051_Regal_Holzregal",1,402,5.99645208861902
"1530",20,"incon","canon",15,"015_Blume_Tulpen",1,215,5.37063802812766
"1531",20,"con","noncanon",83,"083_Ventilator_Standventilator",1,502,6.21860011969173
"1532",20,"incon","noncanon",99,"099_Eimer_Wassereimer",1,347,5.84932477994686
"1533",20,"incon","canon",119,"119_Paprika",1,390,5.96614673912369
"1534",20,"con","noncanon",6,"006_Bett_Einzelbett",1,410,6.01615715969835
"1535",20,"incon","canon",50,"050_Nuss_Wallnuss",1,517,6.24804287450843
"1536",20,"incon","noncanon",42,"042_Lampe_Stehlampe",1,296,5.69035945432406
"1537",20,"con","canon",10,"010_Blume_Gaenseblume",1,328,5.79301360838414
"1538",20,"incon","noncanon",102,"102_Bett_Kinderbett",1,338,5.82304589548302
"1539",20,"incon","noncanon",54,"054_Schrank_Bueroschrank",1,394,5.97635090929793
"1540",20,"con","canon",9,"009_Bildschirm_Flachbildfernseher",1,388,5.96100533962327
"1541",20,"incon","canon",96,"096_Auto_Oldtimer",1,367,5.90536184805457
"1542",20,"incon","canon",24,"024_Glas_Trinkglas",1,365,5.89989735358249
"1543",20,"con","canon",57,"057_Seife_Kernseife",1,504,6.22257626807137
"1544",20,"con","noncanon",80,"080_Uhr_Armbanduhr",1,838,6.73101810048208
"1545",20,"con","noncanon",4,"004_Baum_Weide",1,362,5.89164421182577
"1547",20,"con","noncanon",91,"091_Flugzeug_Segelflieger",1,360,5.88610403145016
"1548",20,"incon","noncanon",104,"104_Fahrradstaender",1,802,6.68710860786651
"1549",20,"incon","canon",101,"101_Becken_Waschbecken",1,469,6.15060276844628
"1550",20,"incon","noncanon",117,"117_Muffin",1,332,5.80513496891649
"1551",20,"incon","canon",116,"116_Kamin",1,495,6.20455776256869
"1553",20,"incon","canon",110,"110_Tretauto",1,506,6.22653666928747
"1554",20,"incon","noncanon",47,"047_Nuss_Erdnuss",1,365,5.89989735358249
"1556",21,"con","canon",30,"030_Wippe",1,423,6.04737217904628
"1558",21,"incon","canon",96,"096_Auto_Oldtimer",1,375,5.92692602597041
"1559",21,"con","noncanon",66,"066_Stuhl_Barstuhl",1,801,6.68586094706836
"1560",21,"con","noncanon",83,"083_Ventilator_Standventilator",1,540,6.29156913955832
"1561",21,"con","noncanon",32,"032_Kopfhoerer_Earbudohrhoerer",1,550,6.30991827822652
"1562",21,"incon","noncanon",69,"069_Stuhl_Rollstuhl",1,506,6.22653666928747
"1563",21,"con","canon",85,"085_Auto_Pickuptruck",1,425,6.05208916892442
"1564",21,"incon","noncanon",19,"019_Drucker_Heimdrucker",1,608,6.41017488196617
"1565",21,"incon","canon",12,"012_Blume_Orchidee",1,598,6.39359075395063
"1566",21,"incon","canon",81,"081_Uhr_Digitaluhr",1,472,6.15697898558556
"1567",21,"incon","canon",46,"046_Besteck_Messer",1,452,6.11368217983223
"1568",21,"con","canon",75,"075_Tisch_Etagentisch",1,533,6.27852142416584
"1569",21,"incon","noncanon",61,"061_Sitzbank_Baumbank",1,570,6.3456363608286
"1570",21,"incon","noncanon",100,"100_Besteck_Loeffel",1,432,6.06842558824411
"1571",21,"con","noncanon",15,"015_Blume_Tulpen",1,683,6.52649485957079
"1572",21,"incon","noncanon",8,"008_Bildschirm_Desktop",1,444,6.09582456243222
"1573",21,"con","canon",51,"051_Regal_Holzregal",1,345,5.84354441703136
